,Model,Predictive Accuracy,Participant Data,Params
354,Sparse,0.3839954900964398,7729591288_20220607.csv,0.0
355,CPT,0.5073601405796945,7811512263_20220623.csv,
356,MEU,0.5000000095398429,7811512263_20220623.csv,
357,BVAE,0.5090175180789331,7811512263_20220623.csv,0.0
358,CNN,0.5013849541728337,7811512263_20220623.csv,0.0
359,Sparse,0.5158943190895631,7811512263_20220623.csv,0.0
360,CPT,0.49999999032278947,7839131207_20220623.csv,
361,MEU,0.4999999971941638,7839131207_20220623.csv,
362,BVAE,0.4999999970549544,7839131207_20220623.csv,0.0
363,CNN,0.4999999923375814,7839131207_20220623.csv,0.0
364,Sparse,0.5000000036192145,7839131207_20220623.csv,0.0
365,CPT,0.5094457256953037,7916373955_20220622.csv,
366,MEU,0.5022779735898932,7916373955_20220622.csv,
367,BVAE,0.5017146477525706,7916373955_20220622.csv,0.0
368,CNN,0.5043773158629355,7916373955_20220622.csv,0.0
369,Sparse,0.4951678395285693,7916373955_20220622.csv,0.0
370,CPT,0.7714895547959104,8198410857_20220622.csv,
371,MEU,0.5000000577777779,8198410857_20220622.csv,
372,BVAE,0.5992937064838426,8198410857_20220622.csv,0.0
373,CNN,0.65881965613985,8198410857_20220622.csv,0.0
374,Sparse,0.43547983024626125,8198410857_20220622.csv,0.0
375,CPT,0.8413174101001974,8254485902_20220623.csv,
376,MEU,0.5000000555555556,8254485902_20220623.csv,
377,BVAE,0.807180970084585,8254485902_20220623.csv,0.0
378,CNN,0.5603942536611761,8254485902_20220623.csv,0.0
379,Sparse,0.4229108763496136,8254485902_20220623.csv,0.0
380,CPT,0.6491806676396845,8488980532_20220602.csv,
381,MEU,0.5350298835720915,8488980532_20220602.csv,
382,BVAE,0.5236715424034951,8488980532_20220602.csv,0.0
383,CNN,0.5564151977421302,8488980532_20220602.csv,0.0
384,Sparse,0.47681559268846724,8488980532_20220602.csv,0.0
385,CPT,0.5012965530301371,851978686_20220701.csv,
386,MEU,0.5003435811876924,851978686_20220701.csv,
387,BVAE,0.5003734175110702,851978686_20220701.csv,0.0
388,CNN,0.5002064745351414,851978686_20220701.csv,0.0
389,Sparse,0.49964033225119714,851978686_20220701.csv,0.0
390,CPT,0.5054159487205082,8762245299_20220622.csv,
391,MEU,0.5026700268846165,8762245299_20220622.csv,
392,BVAE,0.5023553391333088,8762245299_20220622.csv,0.0
393,CNN,0.5043573861775391,8762245299_20220622.csv,0.0
394,Sparse,0.4994762597995587,8762245299_20220622.csv,0.0
395,CPT,0.5425193518632925,8880742555_20220623.csv,
396,MEU,0.5004228722602905,8880742555_20220623.csv,
397,BVAE,0.5052246386589699,8880742555_20220623.csv,0.0
398,CNN,0.5037193616597029,8880742555_20220623.csv,0.0
399,Sparse,0.5018550808352917,8880742555_20220623.csv,0.0
400,CPT,0.6196403215471334,8894686670_20220622.csv,
401,MEU,0.5210911700456937,8894686670_20220622.csv,
402,BVAE,0.5273297171222247,8894686670_20220622.csv,0.0
403,CNN,0.5345454079738395,8894686670_20220622.csv,0.0
404,Sparse,0.48707878738081734,8894686670_20220622.csv,0.0
405,CPT,0.5006073634022192,9023291296_20220602.csv,
406,MEU,0.5025362205441692,9023291296_20220602.csv,
407,BVAE,0.5001417756616642,9023291296_20220602.csv,0.0
408,CNN,0.5020217511282492,9023291296_20220602.csv,0.0
409,Sparse,0.5007715355277829,9023291296_20220602.csv,0.0
410,CPT,0.4999999968474311,908333355_20220623.csv,
411,MEU,0.4981287538045976,908333355_20220623.csv,
412,BVAE,0.49999999920227284,908333355_20220623.csv,0.0
413,CNN,0.5000000068716591,908333355_20220623.csv,0.0
414,Sparse,0.49999998614711116,908333355_20220623.csv,0.0
